"App_ID","Vulnerability_Count","Dependency_Risk","Code_Complexity","SAST_Issues","Risk_Score","Severity","SAST_Result"
1,14,8,73,3,10,"Medium","Passed"
2,18,1,13,15,12.3,"High","Failed"
3,13,2,61,0,7.1,"Medium","Passed"
4,2,4,31,15,5.2,"Low","Failed"
5,9,7,43,9,8.4,"Medium","Failed"
6,17,5,5,11,12.2,"High","Failed"
7,10,10,24,5,9,"Medium","Passed"
8,4,4,86,8,4.8,"Low","Passed"
9,19,8,97,13,14.5,"High","Failed"
10,13,1,98,0,6.8,"Low","Passed"
11,4,5,36,1,3.7,"Low","Passed"
12,18,7,59,6,12.3,"High","Passed"
13,8,6,38,10,7.8,"Medium","Failed"
14,2,10,69,5,5,"Low","Passed"
15,7,1,91,6,5,"Low","Passed"
16,6,10,61,12,8.4,"Medium","Failed"
17,9,7,19,13,9.2,"Medium","Failed"
18,8,2,12,10,6.6,"Low","Failed"
19,18,10,33,1,12.2,"High","Passed"
20,3,5,74,12,5.4,"Low","Failed"
21,13,3,31,4,8.2,"Medium","Passed"
22,16,2,36,5,9.6,"Medium","Passed"
23,10,6,74,9,8.6,"Medium","Failed"
24,6,2,15,13,6.2,"Low","Failed"
25,20,3,28,11,13.1,"High","Failed"
26,11,3,100,7,7.8,"Medium","Passed"
27,14,4,90,15,11.2,"Medium","Failed"
28,9,9,8,6,8.4,"Medium","Passed"
29,12,5,86,5,8.5,"Medium","Passed"
30,6,2,46,3,4.2,"Low","Passed"
31,8,9,60,0,6.7,"Low","Passed"
32,8,1,72,1,4.5,"Low","Passed"
33,9,7,42,0,6.6,"Low","Passed"
34,20,1,70,4,11.1,"Medium","Passed"
35,6,6,68,10,6.8,"Low","Failed"
36,20,1,43,7,11.7,"Medium","Passed"
37,5,6,80,8,5.9,"Low","Passed"
38,1,8,63,15,5.9,"Low","Failed"
39,4,10,40,12,7.4,"Medium","Failed"
40,7,2,95,0,4.1,"Low","Passed"
41,11,5,90,13,9.6,"Medium","Failed"
42,12,10,46,10,11,"Medium","Failed"
43,17,2,20,15,12.1,"High","Failed"
44,0,5,7,0,1.5,"Low","Passed"
45,5,3,73,9,5.2,"Low","Failed"
46,20,6,84,9,13.6,"High","Failed"
47,14,6,53,1,9,"Medium","Passed"
48,8,9,11,13,9.3,"Medium","Failed"
49,14,6,49,11,11,"Medium","Failed"
50,15,4,2,15,11.7,"Medium","Failed"
51,19,2,29,15,13.1,"High","Failed"
52,5,7,87,8,6.2,"Low","Passed"
53,10,9,37,3,8.3,"Medium","Passed"
54,7,4,85,8,6.3,"Low","Passed"
55,6,1,30,0,3.3,"Low","Passed"
56,15,8,52,10,11.9,"Medium","Failed"
57,16,3,6,11,11.1,"Medium","Failed"
58,17,9,63,10,13.2,"High","Failed"
59,16,6,55,10,11.8,"Medium","Failed"
60,1,3,96,3,2,"Low","Passed"
61,3,3,35,8,4,"Low","Passed"
62,12,4,27,1,7.4,"Medium","Passed"
63,4,6,78,0,3.8,"Low","Passed"
64,18,2,41,11,11.8,"Medium","Failed"
65,19,7,60,8,13.2,"High","Passed"
66,13,6,32,15,11.3,"Medium","Failed"
67,2,7,60,13,5.7,"Low","Failed"
68,7,4,84,11,6.9,"Low","Failed"
69,15,7,86,11,11.8,"Medium","Failed"
70,11,10,4,11,10.7,"Medium","Failed"
71,13,4,51,12,10.1,"Medium","Failed"
72,2,9,94,6,4.9,"Low","Passed"
73,13,5,40,5,9,"Medium","Passed"
74,6,9,38,2,6.1,"Low","Passed"
75,2,9,34,6,4.9,"Low","Passed"
76,14,3,18,10,9.9,"Medium","Failed"
77,20,1,86,11,12.5,"High","Failed"
78,4,9,35,7,6.1,"Low","Passed"
79,7,9,30,3,6.8,"Low","Passed"
80,18,3,3,15,12.9,"High","Failed"
81,9,4,72,0,5.7,"Low","Passed"
82,17,7,73,10,12.6,"High","Failed"
83,9,9,32,0,7.2,"Medium","Passed"
84,11,10,95,8,10.1,"Medium","Passed"
85,1,8,30,3,3.5,"Low","Passed"
86,9,3,25,4,6.2,"Low","Passed"
87,11,6,44,15,10.3,"Medium","Failed"
88,19,1,19,2,10.2,"Medium","Passed"
89,13,9,66,14,12,"Medium","Failed"
90,16,9,44,8,12.3,"High","Passed"
91,13,7,85,7,10,"Medium","Passed"
92,2,8,18,12,5.8,"Low","Failed"
93,7,1,74,0,3.8,"Low","Passed"
94,13,10,51,5,10.5,"Medium","Passed"
95,18,8,47,4,12.2,"High","Passed"
96,14,2,47,13,10.2,"Medium","Failed"
97,16,8,3,8,12,"Medium","Passed"
98,10,6,70,9,8.6,"Medium","Failed"
99,6,9,48,12,8.1,"Medium","Failed"
100,14,2,55,8,9.2,"Medium","Passed"
101,5,7,44,4,5.4,"Low","Passed"
102,13,7,31,0,8.6,"Medium","Passed"
103,6,9,47,3,6.3,"Low","Passed"
104,9,3,52,11,7.6,"Medium","Failed"
105,4,3,97,3,3.5,"Low","Passed"
106,5,5,61,14,6.8,"Low","Failed"
107,15,2,20,12,10.5,"Medium","Failed"
108,20,4,70,15,14.2,"High","Failed"
109,10,10,51,13,10.6,"Medium","Failed"
