"App_ID","Open_Ports","Dependency_Risk","SQL_Injection","XSS","Broken_Auth","Vulnerable_Libraries","DAST_Score","DAST_Result","SCA_Result","Risk_Score","Verification_Status"
1,15,1,3,2,4,8,9,"Failed","Risky",5.8,"Not Verified"
2,19,6,2,0,3,4,5,"Passed","Risky",5.4,"Not Verified"
3,14,8,0,0,5,10,5,"Passed","Risky",6.2,"Not Verified"
4,3,10,1,3,4,0,8,"Failed","Risky",8.8,"Not Verified"
5,10,2,4,4,1,1,9,"Failed","Safe",6.2,"Not Verified"
6,18,5,4,2,4,4,10,"Failed","Safe",8,"Not Verified"
7,11,10,4,0,4,7,8,"Failed","Risky",8.8,"Not Verified"
8,5,2,4,4,1,0,9,"Failed","Safe",6.2,"Not Verified"
9,20,5,5,0,1,2,6,"Passed","Safe",5.6,"Verified"
10,14,3,3,5,5,9,13,"Failed","Risky",9,"Not Verified"
11,5,6,5,4,0,3,9,"Failed","Risky",7.8,"Not Verified"
12,19,6,2,5,4,4,11,"Failed","Risky",9,"Not Verified"
13,9,9,3,0,4,7,7,"Failed","Risky",7.8,"Not Verified"
14,3,6,2,1,1,0,4,"Passed","Risky",4.8,"Not Verified"
15,8,4,5,4,0,5,9,"Failed","Safe",7,"Not Verified"
16,7,2,0,0,1,3,1,"Passed","Safe",1.4,"Verified"
17,10,7,3,4,3,7,10,"Failed","Risky",8.8,"Not Verified"
18,9,9,3,0,1,10,4,"Passed","Risky",6,"Not Verified"
19,19,4,3,3,0,10,6,"Passed","Risky",5.2,"Not Verified"
20,4,1,5,3,4,9,12,"Failed","Risky",7.6,"Not Verified"
21,14,8,3,3,2,3,8,"Failed","Risky",8,"Not Verified"
22,17,3,2,4,2,7,8,"Failed","Risky",6,"Not Verified"
23,11,9,5,5,2,3,12,"Failed","Risky",10.8,"Not Verified"
24,7,6,5,1,3,9,9,"Failed","Risky",7.8,"Not Verified"
25,12,3,1,1,1,1,3,"Passed","Safe",3,"Verified"
26,15,3,1,5,5,10,11,"Failed","Risky",7.8,"Not Verified"
27,10,4,5,4,1,1,10,"Failed","Safe",7.6,"Not Verified"
28,13,6,2,2,4,2,8,"Failed","Risky",7.2,"Not Verified"
29,7,2,5,4,3,0,12,"Failed","Safe",8,"Not Verified"
30,9,7,2,4,4,8,10,"Failed","Risky",8.8,"Not Verified"
31,9,6,4,4,3,7,11,"Failed","Risky",9,"Not Verified"
32,10,7,0,5,1,4,6,"Passed","Risky",6.4,"Not Verified"
33,7,4,5,0,4,10,9,"Failed","Risky",7,"Not Verified"
34,6,7,0,1,0,4,1,"Passed","Risky",3.4,"Not Verified"
35,2,10,3,1,4,2,8,"Failed","Risky",8.8,"Not Verified"
36,5,4,2,0,1,7,3,"Passed","Risky",3.4,"Not Verified"
37,8,9,1,2,2,3,5,"Passed","Risky",6.6,"Not Verified"
38,12,5,3,3,4,3,10,"Failed","Safe",8,"Not Verified"
39,13,9,4,1,3,2,8,"Failed","Risky",8.4,"Not Verified"
40,18,9,1,1,4,3,6,"Passed","Risky",7.2,"Not Verified"
41,1,3,1,2,0,8,3,"Passed","Risky",3,"Not Verified"
42,6,1,2,4,3,4,9,"Failed","Safe",5.8,"Not Verified"
43,15,9,1,2,5,8,8,"Failed","Risky",8.4,"Not Verified"
44,9,9,2,4,2,0,8,"Failed","Risky",8.4,"Not Verified"
45,15,3,5,2,1,1,8,"Failed","Safe",6,"Not Verified"
46,16,4,5,5,2,0,12,"Failed","Safe",8.8,"Not Verified"
47,20,7,3,3,2,9,8,"Failed","Risky",7.6,"Not Verified"
48,6,9,3,4,5,3,12,"Failed","Risky",10.8,"Not Verified"
49,11,10,0,2,0,9,2,"Passed","Risky",5.2,"Not Verified"
50,8,8,3,1,2,0,6,"Passed","Risky",6.8,"Not Verified"
51,7,3,4,0,1,10,5,"Passed","Risky",4.2,"Not Verified"
52,16,6,3,3,3,9,9,"Failed","Risky",7.8,"Not Verified"
53,17,1,1,3,5,4,9,"Failed","Safe",5.8,"Not Verified"
54,18,9,5,2,0,2,7,"Failed","Risky",7.8,"Not Verified"
55,17,9,2,3,1,9,6,"Passed","Risky",7.2,"Not Verified"
56,2,7,5,0,2,5,7,"Failed","Risky",7,"Not Verified"
57,4,8,3,4,0,9,7,"Failed","Risky",7.4,"Not Verified"
58,13,1,3,4,4,4,11,"Failed","Safe",7,"Not Verified"
59,5,10,3,0,2,0,5,"Passed","Risky",7,"Not Verified"
60,19,8,1,3,1,1,5,"Passed","Risky",6.2,"Not Verified"
61,20,2,1,1,1,1,3,"Passed","Safe",2.6,"Verified"
62,14,8,5,2,3,9,10,"Failed","Risky",9.2,"Not Verified"
63,3,6,1,0,1,0,2,"Passed","Risky",3.6,"Not Verified"
64,8,9,1,4,2,3,7,"Failed","Risky",7.8,"Not Verified"
65,16,2,2,1,3,9,6,"Passed","Risky",4.4,"Not Verified"
66,12,7,0,1,0,6,1,"Passed","Risky",3.4,"Not Verified"
67,14,7,4,3,5,6,12,"Failed","Risky",10,"Not Verified"
68,3,9,4,3,0,1,7,"Failed","Risky",7.8,"Not Verified"
69,14,3,0,1,4,4,5,"Passed","Safe",4.2,"Verified"
70,7,3,4,1,5,10,10,"Failed","Risky",7.2,"Not Verified"
71,3,5,0,3,3,0,6,"Passed","Safe",5.6,"Verified"
72,15,2,0,4,2,0,6,"Passed","Safe",4.4,"Verified"
73,5,4,4,5,1,9,10,"Failed","Risky",7.6,"Not Verified"
74,8,10,5,2,2,6,9,"Failed","Risky",9.4,"Not Verified"
75,19,1,3,3,5,10,11,"Failed","Risky",7,"Not Verified"
76,10,10,5,1,2,4,8,"Failed","Risky",8.8,"Not Verified"
77,18,5,5,2,0,10,7,"Failed","Risky",6.2,"Not Verified"
78,10,10,1,0,2,4,3,"Passed","Risky",5.8,"Not Verified"
79,12,8,3,1,3,2,7,"Failed","Risky",7.4,"Not Verified"
80,2,5,0,4,2,1,6,"Passed","Safe",5.6,"Verified"
81,10,6,2,3,4,3,9,"Failed","Risky",7.8,"Not Verified"
82,12,9,2,2,3,10,7,"Failed","Risky",7.8,"Not Verified"
83,20,3,2,1,4,7,7,"Failed","Risky",5.4,"Not Verified"
84,14,1,1,4,2,5,7,"Failed","Safe",4.6,"Not Verified"
85,17,9,3,0,5,6,8,"Failed","Risky",8.4,"Not Verified"
86,14,2,2,0,4,8,6,"Passed","Risky",4.4,"Not Verified"
87,3,1,5,0,3,3,8,"Failed","Safe",5.2,"Not Verified"
88,8,8,0,2,5,9,7,"Failed","Risky",7.4,"Not Verified"
89,14,9,4,1,3,10,8,"Failed","Risky",8.4,"Not Verified"
90,19,2,5,0,3,8,8,"Failed","Risky",5.6,"Not Verified"
91,15,3,5,1,0,7,6,"Passed","Risky",4.8,"Not Verified"
92,17,6,1,3,1,8,5,"Passed","Risky",5.4,"Not Verified"
93,11,1,4,0,5,10,9,"Failed","Risky",5.8,"Not Verified"
94,7,7,4,3,1,9,8,"Failed","Risky",7.6,"Not Verified"
95,15,2,2,4,3,6,9,"Failed","Risky",6.2,"Not Verified"
96,6,5,4,2,4,7,10,"Failed","Risky",8,"Not Verified"
97,14,10,3,1,2,6,6,"Passed","Risky",7.6,"Not Verified"
98,7,3,4,5,3,5,12,"Failed","Safe",8.4,"Not Verified"
99,10,7,2,4,0,5,6,"Passed","Risky",6.4,"Not Verified"
100,5,2,5,4,2,4,11,"Failed","Safe",7.4,"Not Verified"
101,6,8,4,2,3,2,9,"Failed","Risky",8.6,"Not Verified"
102,16,3,3,1,0,6,4,"Passed","Risky",3.6,"Not Verified"
103,11,4,1,0,3,8,4,"Passed","Risky",4,"Not Verified"
104,4,3,5,2,0,2,7,"Failed","Safe",5.4,"Not Verified"
105,12,3,0,1,0,4,1,"Passed","Safe",1.8,"Verified"
106,14,2,5,0,1,5,6,"Passed","Safe",4.4,"Verified"
107,19,4,4,0,0,8,4,"Passed","Risky",4,"Not Verified"
108,7,4,4,3,0,3,7,"Failed","Safe",5.8,"Not Verified"
109,9,6,2,2,2,7,6,"Passed","Risky",6,"Not Verified"
110,7,6,3,1,2,8,6,"Passed","Risky",6,"Not Verified"
111,2,3,0,2,2,7,4,"Passed","Risky",3.6,"Not Verified"
112,16,9,1,3,3,6,7,"Failed","Risky",7.8,"Not Verified"
113,13,5,5,1,3,1,9,"Failed","Safe",7.4,"Not Verified"
114,19,5,2,3,1,10,6,"Passed","Risky",5.6,"Not Verified"
115,20,8,1,5,4,9,10,"Failed","Risky",9.2,"Not Verified"
116,15,5,2,0,5,10,7,"Failed","Risky",6.2,"Not Verified"
117,7,5,3,4,0,5,7,"Failed","Safe",6.2,"Not Verified"
118,4,3,1,2,4,10,7,"Failed","Risky",5.4,"Not Verified"
119,1,7,2,5,5,8,12,"Failed","Risky",10,"Not Verified"
120,8,1,3,2,2,2,7,"Failed","Safe",4.6,"Not Verified"
121,20,2,1,3,2,2,6,"Passed","Safe",4.4,"Verified"
